from,to,year,week
christian,islam,2018,38
hindu,christianity,2018,38
hindu,islam,2018,38
hindu,islam,2018,33
hindu,islam,2018,33
hindu,islam,2018,33
christian,islam,2018,33
hindu,islam,2018,33
hindu,christianity,2018,50
hindu,islam,2018,50
hindu,christianity,2018,50
hindu,christianity,2018,50
hindu,islam,2018,31
hindu,islam,2018,31
hindu,islam,2018,31
hindu,islam,2018,31
christian,islam,2018,31
hindu,islam,2018,31
christian,hindu,2018,31
hindu,islam,2018,47
hindu,islam,2018,47
hindu,christianity,2018,47
hindu,christianity,2018,47
hindu,islam,2018,10
hindu,islam,2018,10
islam,hindu,2018,10
hindu,christianity,2018,10
christian,hindu,2018,10
christian,islam,2018,10
hindu,islam,2018,2
christian,hindu,2018,2
islam,hindu,2018,2
hindu,christianity,2018,2
hindu,islam,2018,2
hindu,islam,2018,32
hindu,christianity,2018,32
hindu,christianity,2018,32
islam,hindu,2018,32
hindu,christianity,2018,32
hindu,islam,2018,32
hindu,islam,2018,28
hindu,christianity,2018,28
hindu,christianity,2018,28
hindu,christianity,2018,28
christian,hindu,2018,28
hindu,christianity,2018,28
hindu,christianity,2018,28
hindu,islam,2018,19
hindu,christianity,2018,19
hindu,islam,2018,19
hindu,islam,2018,19
christian,hindu,2018,19
hindu,christianity,2018,14
hindu,islam,2018,14
hindu,islam,2018,14
hindu,islam,2018,14
hindu,islam,2018,14
christian,hindu,2018,25
hindu,christianity,2018,25
christian,islam,2018,25
hindu,christianity,2018,25
hindu,christianity,2018,25
hindu,islam,2018,6
hindu,islam,2018,6
hindu,islam,2018,6
islam,hindu,2018,6
hindu,christianity,2018,6
hindu,christianity,2018,6
hindu,islam,2018,34
hindu,islam,2018,34
islam,hindu,2018,34
hindu,islam,2018,34
christian,hindu,2018,29
christian,hindu,2018,29
hindu,islam,2018,29
hindu,islam,2018,29
hindu,islam,2018,29
hindu,christianity,2018,29
hindu,islam,2018,3
hindu,islam,2018,3
islam,hindu,2018,3
hindu,christianity,2018,3
hindu,islam,2018,36
hindu,islam,2018,36
hindu,islam,2018,36
hindu,islam,2018,36
hindu,islam,2018,36
hindu,islam,2018,36
hindu,islam,2018,41
hindu,christianity,2018,41
hindu,christianity,2018,41
hindu,islam,2018,41
hindu,islam,2018,41
hindu,islam,2018,30
hindu,islam,2018,30
hindu,christianity,2018,30
hindu,christianity,2018,30
hindu,christianity,2018,30
hindu,islam,2018,17
hindu,christianity,2018,17
hindu,islam,2018,17
hindu,islam,2018,17
hindu,christianity,2018,17
hindu,christianity,2018,17
hindu,christianity,2018,13
hindu,christianity,2018,13
hindu,islam,2018,13
hindu,islam,2018,13
hindu,islam,2018,13
hindu,islam,2018,13
hindu,islam,2018,22
hindu,islam,2018,22
hindu,christianity,2018,22
islam,hindu,2018,22
christian,hindu,2018,22
christian,islam,2018,11
hindu,islam,2018,11
christian,islam,2018,11
hindu,islam,2018,11
christian,islam,2018,11
hindu,islam,2018,15
hindu,islam,2018,15
hindu,christianity,2018,15
hindu,islam,2018,15
hindu,christianity,2018,15
hindu,christianity,2018,15
hindu,islam,2018,1
hindu,islam,2018,1
hindu,islam,2018,1
hindu,islam,2018,1
christian,hindu,2018,1
hindu,christianity,2018,9
christian,hindu,2018,9
islam,hindu,2018,9
hindu,christianity,2018,9
hindu,islam,2018,9
hindu,islam,2018,9
